Facility_ID,Facility_Name,State,City,Measure_ID,Total_Patient_Volume,edac_score,Excess_Days_Returned,Nurse_Comm_Score
100007,ADVENTHEALTH ORLANDO,FL,ORLANDO,EDAC_30_HF,3486,30.8,959,91
100007,ADVENTHEALTH ORLANDO,FL,ORLANDO,EDAC_30_HF,3486,31,959,91
100007,ADVENTHEALTH ORLANDO,FL,ORLANDO,EDAC_30_PN,3585,36,895,91
100007,ADVENTHEALTH ORLANDO,FL,ORLANDO,EDAC_30_PN,3585,36.1,895,91
330214,NYU LANGONE HOSPITALS,NY,NEW YORK,EDAC_30_PN,3670,-6,774,92
330214,NYU LANGONE HOSPITALS,NY,NEW YORK,EDAC_30_PN,3670,-5.6,774,92
330214,NYU LANGONE HOSPITALS,NY,NEW YORK,EDAC_30_HF,3232,-17,763,92
330214,NYU LANGONE HOSPITALS,NY,NEW YORK,EDAC_30_HF,3232,-16.6,763,92
330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,NEW YORK,EDAC_30_HF,2781,-4,621,90
330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,NEW YORK,EDAC_30_HF,2781,-3.8,621,90
390133,LEHIGH VALLEY HOSPITAL,PA,ALLENTOWN,EDAC_30_HF,2457,-1,597,90
450388,METHODIST HOSPITAL,TX,SAN ANTONIO,EDAC_30_HF,2319,5.8,595,90
450388,METHODIST HOSPITAL,TX,SAN ANTONIO,EDAC_30_HF,2319,6,595,90
80001,CHRISTIANA HOSPITAL,DE,NEWARK,EDAC_30_HF,2591,16,588,90
80001,CHRISTIANA HOSPITAL,DE,NEWARK,EDAC_30_HF,2591,16.2,588,90
140010,NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL,IL,EVANSTON,EDAC_30_HF,2138,17.8,557,91
140010,NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL,IL,EVANSTON,EDAC_30_HF,2138,18,557,91
330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,NEW YORK,EDAC_30_PN,2644,15,529,90
100087,SARASOTA MEMORIAL HOSPITAL,FL,SARASOTA,EDAC_30_HF,2053,-14.3,500,91
100087,SARASOTA MEMORIAL HOSPITAL,FL,SARASOTA,EDAC_30_HF,2053,-14,500,91
220074,SOUTHCOAST HOSPITALS GROUP,MA,FALL RIVER,EDAC_30_HF,1830,10,496,91
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,NY,ROSLYN,EDAC_30_HF,2080,1,489,94
140010,NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL,IL,EVANSTON,EDAC_30_PN,2245,7,479,91
140010,NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL,IL,EVANSTON,EDAC_30_PN,2245,7.2,479,91
180088,"NORTON HOSPITALS, INC",KY,LOUISVILLE,EDAC_30_HF,1666,18.8,470,90
180088,"NORTON HOSPITALS, INC",KY,LOUISVILLE,EDAC_30_HF,1666,19,470,90
50625,CEDARS-SINAI MEDICAL CENTER,CA,LOS ANGELES,EDAC_30_HF,2068,-3.1,462,90
50625,CEDARS-SINAI MEDICAL CENTER,CA,LOS ANGELES,EDAC_30_HF,2068,-3,462,90
220077,BAYSTATE MEDICAL CENTER,MA,SPRINGFIELD,EDAC_30_HF,1717,7.7,448,89
220077,BAYSTATE MEDICAL CENTER,MA,SPRINGFIELD,EDAC_30_HF,1717,8,448,89
220100,SOUTH SHORE HOSPITAL,MA,SOUTH WEYMOUTH,EDAC_30_PN,1883,13,446,92
220100,SOUTH SHORE HOSPITAL,MA,SOUTH WEYMOUTH,EDAC_30_PN,1883,13.2,446,92
220071,MASSACHUSETTS GENERAL HOSPITAL,MA,BOSTON,EDAC_30_HF,1755,10,444,93
220071,MASSACHUSETTS GENERAL HOSPITAL,MA,BOSTON,EDAC_30_HF,1755,10.4,444,93
450388,METHODIST HOSPITAL,TX,SAN ANTONIO,EDAC_30_PN,1857,11.6,441,90
450388,METHODIST HOSPITAL,TX,SAN ANTONIO,EDAC_30_PN,1857,12,441,90
210023,"LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER, INC",MD,ANNAPOLIS,EDAC_30_HF,1795,1.7,440,90
210023,"LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER, INC",MD,ANNAPOLIS,EDAC_30_HF,1795,2,440,90
310073,JERSEY SHORE UNIVERSITY MEDICAL CENTER,NJ,NEPTUNE,EDAC_30_HF,1683,28,437,90
230269,"BEAUMONT HOSPITAL, TROY",MI,TROY,EDAC_30_HF,1649,17.9,436,91
230269,"BEAUMONT HOSPITAL, TROY",MI,TROY,EDAC_30_HF,1649,18,436,91
